ASIN	Unidades	Tipo	Forma	PesoMin	PesoMax	Linha
B0CP4DVRRB	3	cão	comprimido	15.1	30	Nexgard Spectra
B07V9W6N8P	3	cão	comprimido	25.1	50	Nexgard
B0BF18488W	3	cão	pipeta	40	999	Advocate
B007RQ6ZIQ	1	cão	comprimido	40	56	Bravecto
B0FY3PKC5S	1	cão	comprimido	2	4	Nexgard
B08JTLLRTQ	1	cão	comprimido	11	22	Credeli
B007RQ43E4	1	cão	comprimido	40	56	Bravecto
B08JH5V196	1	cão	comprimido	4.5	10	Bravecto
B07ZG4K25V	3	cão	comprimido	25.1	50	Nexgard
B07YN9BLBZ	3	cão	comprimido	10	25	Nexgard
B0CP4DNHJX	3	cão	comprimido	30.1	60	Nexgard Spectra
B07YNB6X1Q	3	cão	comprimido	25	50	Nexgard
B08ZT2SZSZ	6	cão	comprimido	2	4	Nexgard
B08VQKKSPC	2	cão	comprimido	10	20	Bravecto
B07YNB1N9R	3	cão	comprimido	25.1	50	Nexgard
B08ZT3RDDK	6	cão	comprimido	4.1	10	Nexgard
B07YNBHKY9	6	cão	comprimido	10	25	Nexgard
B08ZT3N9CV	6	cão	comprimido	10.1	25	Nexgard
B07YNBMTSH	9	cão	comprimido	2	4	Nexgard
B0CK9PTRM3	2	cão	comprimido	20	40	Bravecto
B0CK94TG42	2	cão	comprimido	4.5	10	Bravecto
B082T4399H	6	cão/gato	pipeta	0	10	Allerderm
B07Z5DVVLZ	1	cão	comprimido	20	40	Bravecto
B07Z5GVGFQ	1	cão	pipeta	4.5	10	Bravecto
B07YN9XBXV	2	cão	comprimido	25	50	Nexgard
B07Y2DXF7Z	1	cão	pipeta	10	25	Vectra 3D
B084B1QDP5	1	cão	pipeta	1.5	4	Vectra 3D
B07YNZPC6F	1	cão	pipeta	1	10	Frontline
B0DJ9WH8SM	1	cão	pipeta	0	5	Banni
B0FFDZXV8C	1	gato	pipeta	0	2.5	Banni
B07YSTT8SV	1	cão	pipeta	21	40	Fiprolex
B07YN8K19N	1	gato	pipeta	0	0	Fiprolex
B07YNB4PNW	1	cão	pipeta	40	999	Fiprolex
B07YNB2Z15	1	cão	pipeta	0	10	Frontline
B07Y2DDRKX	1	cão	pipeta	40	999	Neopet
